no;q2;sex;age;work;educ;tenure
1;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);mortgage
2;up by 2% but less than 3%;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
3;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
4;up by 3% but less than 4%;male;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
5;Gone down;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
6;up by 3% but less than 4%;male;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
7;up by 5% or more;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
8;up by 1% or less;female;25-34;full or part time;medium (A-Level);mortgage
9;not changed;male;35-44;not working;low (GCSE);council rent
10;not changed;male;55-64;not working;medium (A-Level);mortgage
11;not changed;female;55-64;not working;low (GCSE);other (inc private rent pre-2016)
12;Gone down;female;25-34;not working;medium (A-Level);mortgage
13;Gone down;male;65+;not working;medium (A-Level);owned outright
14;up by 5% or more;female;55-64;not working;high (Degree);owned outright
15;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);owned outright
16;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
17;up by 5% or more;male;15-24;not working;medium (A-Level);mortgage
18;Gone down;male;55-64;full or part time;medium (A-Level);mortgage
19;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);owned outright
20;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
21;up by 1% or less;male;15-24;not working;medium (A-Level);mortgage
22;up by 3% but less than 4%;female;65+;not working;medium (A-Level);owned outright
23;up by 2% but less than 3%;female;65+;not working;low (GCSE);council rent
24;up by 4% but less than 5%;female;65+;full or part time;low (GCSE);owned outright
25;up by 3% but less than 4%;female;25-34;not working;high (Degree);mortgage
26;up by 2% but less than 3%;male;55-64;not working;low (GCSE);council rent
27;up by 4% but less than 5%;female;25-34;full or part time;medium (A-Level);council rent
28;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
29;up by 1% or less;female;35-44;full or part time;medium (A-Level);mortgage
30;not changed;female;45-54;full or part time;high (Degree);mortgage
31;Gone down;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
32;up by 5% or more;female;55-64;not working;high (Degree);owned outright
33;up by 1% but less than 2%;female;25-34;not working;medium (A-Level);mortgage
34;not changed;male;45-54;not working;low (GCSE);owned outright
35;up by 3% but less than 4%;female;35-44;full or part time;high (Degree);mortgage
36;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
37;up by 1% or less;female;55-64;not working;high (Degree);owned outright
38;Gone down;male;65+;not working;high (Degree);owned outright
39;up by 2% but less than 3%;male;55-64;not working;high (Degree);owned outright
40;up by 1% but less than 2%;female;45-54;not working;high (Degree);other (inc private rent pre-2016)
41;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
42;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);owned outright
43;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
44;up by 5% or more;male;55-64;full or part time;medium (A-Level);council rent
45;up by 1% or less;female;15-24;not working;medium (A-Level);council rent
46;up by 2% but less than 3%;male;65+;not working;high (Degree);owned outright
47;not changed;female;45-54;not working;medium (A-Level);mortgage
48;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);mortgage
49;Gone down;female;35-44;full or part time;high (Degree);mortgage
50;up by 4% but less than 5%;female;45-54;not working;medium (A-Level);owned outright
51;up by 1% but less than 2%;male;15-24;not working;high (Degree);owned outright
52;up by 4% but less than 5%;female;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
53;up by 5% or more;male;45-54;not working;high (Degree);other (inc private rent pre-2016)
54;up by 2% but less than 3%;male;65+;not working;low (GCSE);other (inc private rent pre-2016)
55;up by 5% or more;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
56;up by 5% or more;female;25-34;full or part time;high (Degree);mortgage
57;up by 5% or more;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
58;up by 5% or more;male;55-64;not working;medium (A-Level);owned outright
59;Gone down;female;15-24;full or part time;low (GCSE);other (inc private rent pre-2016)
60;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
61;up by 2% but less than 3%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
62;up by 3% but less than 4%;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
63;up by 5% or more;female;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
64;up by 1% or less;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
65;Gone down;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
66;Gone down;female;45-54;full or part time;medium (A-Level);owned outright
67;up by 4% but less than 5%;male;55-64;not working;medium (A-Level);other (inc private rent pre-2016)
68;up by 4% but less than 5%;male;55-64;not working;low (GCSE);other (inc private rent pre-2016)
69;up by 2% but less than 3%;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
70;Gone down;male;45-54;not working;high (Degree);other (inc private rent pre-2016)
71;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
72;not changed;male;65+;not working;medium (A-Level);owned outright
73;not changed;female;65+;not working;medium (A-Level);owned outright
74;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
75;not changed;female;55-64;not working;medium (A-Level);owned outright
76;up by 4% but less than 5%;female;65+;not working;high (Degree);owned outright
77;up by 2% but less than 3%;male;65+;not working;medium (A-Level);owned outright
78;Gone down;male;55-64;full or part time;medium (A-Level);other (inc private rent pre-2016)
79;up by 5% or more;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
80;up by 5% or more;male;65+;full or part time;low (GCSE);owned outright
81;up by 2% but less than 3%;female;65+;not working;high (Degree);owned outright
82;up by 5% or more;female;45-54;not working;high (Degree);other (inc private rent pre-2016)
83;up by 2% but less than 3%;female;65+;not working;low (GCSE);owned outright
84;not changed;female;55-64;full or part time;low (GCSE);owned outright
85;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);council rent
86;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
87;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);mortgage
88;up by 4% but less than 5%;male;45-54;not working;medium (A-Level);council rent
89;up by 4% but less than 5%;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
90;up by 5% or more;male;65+;not working;low (GCSE);council rent
91;up by 3% but less than 4%;female;55-64;not working;high (Degree);owned outright
92;up by 5% or more;male;65+;not working;medium (A-Level);owned outright
93;Gone down;male;35-44;full or part time;high (Degree);mortgage
94;up by 5% or more;male;55-64;not working;medium (A-Level);other (inc private rent pre-2016)
95;up by 1% or less;male;45-54;full or part time;high (Degree);mortgage
96;Gone down;female;35-44;full or part time;high (Degree);mortgage
97;Gone down;female;45-54;not working;medium (A-Level);council rent
98;up by 5% or more;male;35-44;full or part time;medium (A-Level);mortgage
99;not changed;female;25-34;full or part time;medium (A-Level);mortgage
100;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);mortgage
101;not changed;male;25-34;full or part time;medium (A-Level);mortgage
102;up by 1% or less;male;35-44;full or part time;high (Degree);mortgage
103;Gone down;female;45-54;full or part time;high (Degree);mortgage
104;not changed;female;45-54;full or part time;high (Degree);mortgage
105;not changed;male;35-44;full or part time;high (Degree);mortgage
106;up by 3% but less than 4%;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
107;not changed;female;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
108;up by 3% but less than 4%;male;45-54;not working;high (Degree);mortgage
109;up by 3% but less than 4%;female;55-64;full or part time;low (GCSE);owned outright
110;not changed;male;35-44;full or part time;high (Degree);mortgage
111;up by 2% but less than 3%;female;65+;full or part time;low (GCSE);council rent
112;not changed;male;55-64;full or part time;high (Degree);owned outright
113;up by 4% but less than 5%;female;35-44;full or part time;medium (A-Level);mortgage
114;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);mortgage
115;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
116;Gone down;female;55-64;not working;low (GCSE);owned outright
117;up by 4% but less than 5%;male;55-64;full or part time;high (Degree);owned outright
118;Gone down;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
119;up by 2% but less than 3%;male;45-54;not working;medium (A-Level);other (inc private rent pre-2016)
120;Gone down;male;65+;not working;medium (A-Level);owned outright
121;Gone down;female;45-54;full or part time;medium (A-Level);mortgage
122;Gone down;male;45-54;not working;low (GCSE);other (inc private rent pre-2016)
123;up by 5% or more;male;15-24;full or part time;medium (A-Level);other (inc private rent pre-2016)
124;not changed;male;45-54;full or part time;high (Degree);other (inc private rent pre-2016)
125;up by 5% or more;female;45-54;full or part time;medium (A-Level);mortgage
126;Gone down;male;65+;not working;medium (A-Level);mortgage
127;up by 2% but less than 3%;male;15-24;not working;medium (A-Level);mortgage
128;up by 5% or more;male;45-54;full or part time;high (Degree);mortgage
129;up by 3% but less than 4%;male;25-34;full or part time;low (GCSE);other (inc private rent pre-2016)
130;Gone down;male;25-34;full or part time;medium (A-Level);owned outright
131;Gone down;female;65+;not working;high (Degree);owned outright
132;Gone down;male;25-34;full or part time;medium (A-Level);mortgage
133;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);mortgage
134;up by 1% or less;female;15-24;not working;medium (A-Level);mortgage
135;up by 2% but less than 3%;male;55-64;full or part time;high (Degree);mortgage
136;up by 1% but less than 2%;male;65+;not working;high (Degree);owned outright
137;up by 1% or less;female;45-54;full or part time;high (Degree);mortgage
138;Gone down;male;25-34;full or part time;high (Degree);mortgage
139;not changed;female;45-54;full or part time;high (Degree);mortgage
140;Gone down;male;55-64;full or part time;high (Degree);mortgage
141;Gone down;female;35-44;not working;high (Degree);mortgage
142;Gone down;female;25-34;full or part time;high (Degree);owned outright
143;up by 1% or less;female;55-64;not working;high (Degree);owned outright
144;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
145;Gone down;female;45-54;not working;high (Degree);mortgage
146;up by 1% or less;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
147;Gone down;female;25-34;full or part time;medium (A-Level);mortgage
